run_id,name,state,metrics,created_at,dataset,dpddm.temp,model.hidden_dim,model.mid_layers,model.kernel_size,model.mid_channels,dpddm.data_sample_size,model.reg_weight_factor,_runtime,_step,_timestamp,train_acc,train_loss,val_acc,val_loss,Phi-mean,Phi-med,Phi-std,dr_ood,dr_test,dr_train,fpr_id,fpr_train,tpr,_wandb.runtime
4oinhoac,hardy-sweep-802,crashed,"{'_runtime': 414.7564163208008, '_step': 6, '_timestamp': 1740508150.0063102, 'train_acc': 0.602225, 'train_loss': 5.218248619842529, 'val_acc': 0.6279856687898089, 'val_loss': 1.093524816689218}",2025-02-25T18:22:07Z,cifar10,1,256,3,5,512,50,100,414.7564163208008,6.0,1740508150.0063102,0.602225,5.218248619842529,0.6279856687898089,1.093524816689218,,,,,,,,,,
uyjsdfze,generous-sweep-801,crashed,"{'_runtime': 560.3631455898285, '_step': 25, '_timestamp': 1740508121.7441757, 'train_acc': 0.77695, 'train_loss': 1.503636574554443, 'val_acc': 0.7808519108280255, 'val_loss': 0.6542102893826308}",2025-02-25T18:19:14Z,cifar10,100,256,2,3,256,50,10,560.3631455898285,25.0,1740508121.7441757,0.77695,1.503636574554443,0.7808519108280255,0.6542102893826308,,,,,,,,,,
i7lnpe7g,young-sweep-800,crashed,"{'_runtime': 596.6950540542603, '_step': 9, '_timestamp': 1740507789.2653852, 'train_acc': 0.66325, 'train_loss': 1.2606507428169251, 'val_acc': 0.6975517515923567, 'val_loss': 0.8813779515445612}",2025-02-25T18:12:57Z,cifar10,1,512,3,5,512,50,1,596.6950540542603,9.0,1740507789.2653852,0.66325,1.2606507428169251,0.6975517515923567,0.8813779515445612,,,,,,,,,,
7478iqsh,iconic-sweep-799,crashed,"{'_runtime': 269.5507469177246, '_step': 9, '_timestamp': 1740507265.666138, 'train_acc': 0.68085, 'train_loss': 4.452937607574463, 'val_acc': 0.6938694267515924, 'val_loss': 0.885393837454972}",2025-02-25T18:09:39Z,cifar10,100,256,3,5,256,50,100,269.5507469177246,9.0,1740507265.666138,0.68085,4.452937607574463,0.6938694267515924,0.885393837454972,,,,,,,,,,
9zter230,fragrant-sweep-798,finished,"{'Phi-mean': 0.16307999569177628, 'Phi-med': 0.1599999964237213, 'Phi-std': 0.031050176593895935, '_runtime': 1041.3776903152466, '_step': 52, '_timestamp': 1740507716.1969502, '_wandb': {'runtime': 1041}, 'dr_ood': [0.21219999417662624, 0.035988331770121076], 'dr_test': [0.163599995598197, 0.03398587716157642], 'dr_train': [0.1615999961644411, 0.03028926993632845], 'fpr_id': 0.09, 'fpr_train': 0.08, 'tpr': 0.54, 'train_acc': 0.881875, 'train_loss': 1.2717785844802856, 'val_acc': 0.8386743630573248, 'val_loss': 0.48537173430631114}",2025-02-25T18:04:26Z,cifar10,10,512,4,3,256,50,10,1041.3776903152466,52.0,1740507716.1969502,0.881875,1.2717785844802856,0.8386743630573248,0.48537173430631114,0.16307999569177628,0.1599999964237213,0.031050176593895935,"[0.21219999417662624, 0.035988331770121076]","[0.163599995598197, 0.03398587716157642]","[0.1615999961644411, 0.03028926993632845]",0.09,0.08,0.54,1041.0
k5gha3tk,golden-sweep-797,crashed,"{'_runtime': 1355.055072069168, '_step': 13, '_timestamp': 1740507745.146086, 'train_acc': 0.6745, 'train_loss': 2.2200673728942872, 'val_acc': 0.6929737261146497, 'val_loss': 0.8805068530094852}",2025-02-25T17:59:42Z,cifar10,10,512,4,3,1024,50,10,1355.055072069168,13.0,1740507745.146086,0.6745,2.2200673728942872,0.6929737261146497,0.8805068530094852,,,,,,,,,,
hxrl306f,unique-sweep-796,crashed,"{'_runtime': 1833.86962389946, '_step': 32, '_timestamp': 1740508108.3629358, 'train_acc': 0.784375, 'train_loss': 2.755107470703125, 'val_acc': 0.7570660828025477, 'val_loss': 0.7437895239348624}",2025-02-25T17:57:47Z,cifar10,10,128,3,5,512,50,100,1833.86962389946,32.0,1740508108.3629358,0.784375,2.755107470703125,0.7570660828025477,0.7437895239348624,,,,,,,,,,
6zneco3n,cerulean-sweep-795,finished,"{'Phi-mean': 0.19879999393224715, 'Phi-med': 0.19999998807907104, 'Phi-std': 0.03471253342535889, '_runtime': 1337.854373216629, '_step': 52, '_timestamp': 1740507600.4531252, '_wandb': {'runtime': 1337}, 'dr_ood': [0.2381999938189983, 0.03731969835730766], 'dr_test': [0.19339999407529831, 0.03394760577372137], 'dr_train': [0.1961999936401844, 0.04026859660171969], 'fpr_id': 0.06, 'fpr_train': 0.08, 'tpr': 0.32, 'train_acc': 0.847275, 'train_loss': 1.297879527568817, 'val_acc': 0.8130971337579618, 'val_loss': 0.5763303764686463}",2025-02-25T17:57:31Z,cifar10,1,256,2,7,256,50,10,1337.854373216629,52.0,1740507600.4531252,0.847275,1.297879527568817,0.8130971337579618,0.5763303764686463,0.19879999393224715,0.19999998807907104,0.03471253342535889,"[0.2381999938189983, 0.03731969835730766]","[0.19339999407529831, 0.03394760577372137]","[0.1961999936401844, 0.04026859660171969]",0.06,0.08,0.32,1337.0
iroyv7z7,clean-sweep-794,crashed,"{'_runtime': 382.57615756988525, '_step': 4, '_timestamp': 1740506540.077525, 'train_acc': 0.4308, 'train_loss': 109.80439201660155, 'val_acc': 0.439390923566879, 'val_loss': 1.5590746972211609}",2025-02-25T17:55:49Z,cifar10,1,512,4,5,512,50,1000,382.57615756988525,4.0,1740506540.077525,0.4308,109.80439201660155,0.439390923566879,1.5590746972211609,,,,,,,,,,
8wru52m9,laced-sweep-793,crashed,"{'_runtime': 573.9561061859131, '_step': 22, '_timestamp': 1740506597.9061923, 'train_acc': 0.723775, 'train_loss': 31.837652612304687, 'val_acc': 0.7325835987261147, 'val_loss': 1.115939476687437}",2025-02-25T17:53:36Z,cifar10,10,256,3,5,256,50,1000,573.9561061859131,22.0,1740506597.9061923,0.723775,31.837652612304687,0.7325835987261147,1.115939476687437,,,,,,,,,,
