seed,data_sample_size,fpr_train,fpr_id,tpr
57,10,0.19,0.17,1.0
58,10,0.14,0.18,1.0
59,10,0.23,0.21,1.0
60,10,0.2,0.29,1.0
61,10,0.28,0.26,1.0
62,10,0.22,0.2,0.99
63,10,0.36,0.29,0.96
64,10,0.11,0.14,1.0
65,10,0.24,0.14,1.0
66,10,0.17,0.24,1.0
67,10,0.18,0.14,1.0
68,10,0.03,0.04,0.99
69,10,0.16,0.2,1.0
70,10,0.03,0.06,0.49
71,10,0.15,0.23,0.91
72,10,0.16,0.13,0.99
73,10,0.11,0.1,0.61
74,10,0.29,0.18,0.99
75,10,0.06,0.05,0.97
76,10,0.17,0.14,0.99
77,10,0.09,0.05,1.0
86,10,0.13,0.16,0.98
78,10,0.47,0.45,1.0
87,10,0.15,0.17,0.99
79,10,0.05,0.07,1.0
88,10,0.13,0.17,1.0
80,10,0.27,0.29,1.0
89,10,0.26,0.37,1.0
81,10,0.02,0.09,1.0
90,10,0.28,0.3,1.0
82,10,0.3,0.28,1.0
83,10,0.2,0.11,0.98
91,10,0.1,0.12,0.97
84,10,0.12,0.16,1.0
92,10,0.24,0.15,0.88
85,10,0.14,0.14,0.98
