
seed,data_sample_size,fpr_train,fpr_id,tpr
57,20,0.17,0.17,1.0
58,20,0.12,0.15,1.0
59,20,0.25,0.21,1.0
60,20,0.14,0.19,1.0
61,20,0.13,0.13,1.0
62,20,0.25,0.24,1.0
63,20,0.12,0.1,0.32
64,20,0.13,0.18,1.0
65,20,0.11,0.15,1.0
66,20,0.13,0.13,1.0
67,20,0.09,0.1,0.98
68,20,0.24,0.22,1.0
77,20,0.21,0.29,1.0
78,20,0.15,0.26,0.36
79,20,0.07,0.11,0.99
80,20,0.26,0.28,1.0
81,20,0.02,0.09,0.99
82,20,0.07,0.05,1.0
83,20,0.2,0.15,1.0
84,20,0.15,0.39,1.0
85,20,0.14,0.16,1.0
86,20,0.23,0.27,1.0
87,20,0.16,0.24,1.0
102,20,0.29,0.23,1.0
103,20,0.16,0.17,1.0
104,20,0.13,0.17,1.0
105,20,0.11,0.2,1.0
106,20,0.21,0.18,1.0
107,20,0.29,0.31,1.0
108,20,0.25,0.28,1.0
109,20,0.18,0.16,1.0
110,20,0.21,0.17,1.0
88,20,0.23,0.18,1.0
69,20,0.25,0.23,1.0
89,20,0.18,0.18,1.0
70,20,0.15,0.15,0.42
90,20,0.24,0.25,1.0
71,20,0.08,0.03,0.32
91,20,0.2,0.12,0.98
