seed,data_sample_size,fpr_train,fpr_id,tpr
9927,10,0.06,0.13,0.31
57,10,0.08,0.06,0.39
58,10,0.04,0.03,0.24
59,10,0.29,0.22,0.6
60,10,0.25,0.18,0.64
61,10,0.17,0.22,0.56
62,10,0.33,0.36,0.7
63,10,0.26,0.18,0.63
64,10,0.04,0.06,0.2
65,10,0.24,0.25,0.74
66,10,0.04,0.06,0.18
67,10,0.34,0.29,0.68
68,10,0.04,0.03,0.24
69,10,0.07,0.08,0.3
70,10,0.39,0.39,0.7
71,10,0.1,0.03,0.29
72,10,0.29,0.38,0.79
73,10,0.24,0.34,0.71
74,10,0.02,0.02,0.23
75,10,0.29,0.38,0.77
76,10,0.16,0.24,0.63
77,10,0.31,0.24,0.72
78,10,0.3,0.26,0.77
79,10,0.04,0.04,0.26
80,10,0.28,0.21,0.73
