seed,data_sample_size,fpr_train,fpr_id,tpr
58,50,0.07,0.02,0.48
60,50,0.17,0.14,0.85
62,50,0.06,0.1,0.73
63,50,0.18,0.06,0.86
64,50,0.13,0.05,0.67
65,50,0.11,0.09,0.79
66,50,0.13,0.05,0.87
67,50,0.06,0.12,0.69
68,50,0.09,0.07,0.75
70,50,0.04,0.07,0.72
73,50,0.12,0.11,0.76
76,50,0.09,0.06,0.84
77,50,0.07,0.05,0.64
78,50,0.04,0.01,0.59
81,50,0.06,0.06,0.61
83,50,0.04,0.1,0.71
85,50,0.06,0.1,0.5
86,50,0.08,0.04,0.67
87,50,0.07,0.08,0.66
88,50,0.09,0.06,0.65
89,50,0.11,0.07,0.65
91,50,0.08,0.03,0.59
92,50,0.02,0.05,0.71
94,50,0.12,0.08,0.88
95,50,0.09,0.13,0.68
97,50,0.04,0.06,0.59
100,50,0.08,0.13,0.77
101,50,0.05,0.02,0.52
104,50,0.1,0.03,0.74
106,50,0.08,0.07,0.75
80,50,0.08,0.08,0.85
