seed,data_sample_size,fpr_train,fpr_id,tpr
28,10,0.24,0.35,0.03
29,10,0.29,0.42,0.87
2,10,0.06,0.04,0.2
4,10,0.05,0.05,0.1
25,10,0.43,0.47,0.83
26,10,0.34,0.42,0.85
27,10,0.35,0.44,0.84
5,10,0.39,0.38,0.65
24,10,0.27,0.41,0.63
7,10,0.16,0.14,0.63
9,10,0.37,0.39,0.8
6,10,0.39,0.41,0.8
10,10,0.06,0.04,0.0
8,10,0.4,0.28,0.87
21,10,0.48,0.4,0.72
20,10,0.32,0.34,0.75
23,10,0.36,0.41,0.01
22,10,0.57,0.67,0.69
3,10,0.43,0.33,0.88
0,10,0.31,0.43,0.89
19,10,0.34,0.45,0.84
15,10,0.36,0.45,0.75
12,10,0.45,0.38,0.64
18,10,0.36,0.34,0.72
13,10,0.39,0.45,0.88
16,10,0.49,0.57,0.61
14,10,0.45,0.39,0.91
11,10,0.37,0.31,0.77
17,10,0.3,0.46,0.94
59,10,0.54,0.5,0.66
61,10,0.47,0.46,0.77
58,10,0.38,0.32,0.8
60,10,0.45,0.57,0.69
64,10,0.31,0.32,0.04
63,10,0.26,0.33,0.75
65,10,0.08,0.04,0.04
32,10,0.61,0.52,0.7
39,10,0.21,0.35,0.71
37,10,0.56,0.65,0.37
38,10,0.44,0.4,0.85
40,10,0.07,0.09,0.02
54,10,0.37,0.34,0.79
55,10,0.07,0.03,0.08
53,10,0.41,0.44,0.59
51,10,0.32,0.37,0.95
50,10,0.36,0.24,0.74
52,10,0.42,0.47,0.81
57,10,0.41,0.37,0.75
56,10,0.38,0.4,0.6
33,10,0.03,0.06,0.08
35,10,0.42,0.28,0.84
36,10,0.41,0.35,0.84
34,10,0.02,0.07,0.32
30,10,0.49,0.48,0.57
49,10,0.32,0.31,0.67
48,10,0.42,0.32,0.93
43,10,0.36,0.38,0.76
45,10,0.37,0.35,0.69
47,10,0.5,0.48,0.69
44,10,0.42,0.43,0.87
42,10,0.37,0.36,0.7
41,10,0.36,0.25,0.87
46,10,0.16,0.17,0.0
69,10,0.47,0.41,0.8
71,10,0.44,0.47,0.78
70,10,0.12,0.1,0.02
68,10,0.57,0.64,0.58
74,10,0.38,0.44,0.68
73,10,0.36,0.41,0.79
75,10,0.31,0.28,0.91
77,10,0.31,0.34,0.93
78,10,0.31,0.26,0.73
76,10,0.29,0.31,0.74
