seed,data_sample_size,fpr_train,fpr_id,tpr
57,50,0.05,0.03,0.88
58,50,0.09,0.07,0.92
60,50,0.04,0.04,0.19
61,50,0.05,0.1,0.67
63,50,0.05,0.06,0.85
64,50,0.04,0.09,0.0
66,50,0.11,0.09,0.89
67,50,0.11,0.18,1.0
68,50,0.08,0.11,0.03
69,50,0.19,0.18,0.92
70,50,0.13,0.18,0.0
71,50,0.12,0.12,0.53
72,50,0.14,0.12,0.33
73,50,0.05,0.05,0.66
74,50,0.11,0.13,0.44
75,50,0.06,0.1,1.0
76,50,0.07,0.08,0.79
77,50,0.11,0.08,0.99
78,50,0.08,0.05,0.77
79,50,0.09,0.1,0.8
81,50,0.05,0.11,0.06
82,50,0.06,0.05,0.36
83,50,0.15,0.04,0.05
84,50,0.05,0.1,0.86
85,50,0.18,0.15,0.0
86,50,0.05,0.08,0.98
87,50,0.08,0.1,0.65
88,50,0.08,0.09,0.87
89,50,0.05,0.04,0.0
90,50,0.11,0.16,0.89
91,50,0.1,0.11,0.53
93,50,0.1,0.05,1.0
94,50,0.11,0.06,0.72
96,50,0.04,0.09,0.64
97,50,0.09,0.06,0.81
98,50,0.07,0.08,0.34
99,50,0.1,0.1,0.89
102,50,0.05,0.02,0.93
103,50,0.08,0.06,0.82
104,50,0.05,0.09,0.0
105,50,0.06,0.06,1.0
106,50,0.1,0.14,0.92
